pub_id,title,doi,publication_year,openalex_url,F-Score,A-score,I-score,R_fileformats,R_collectionprotocols,R_scriptedprocessing,R_variables,R_license,total_score,notes
R75BCN,Interspecific parental care by a European Starling (Sturnus vulgaris) at the nest of a Hairy Woodpecker (Dryobates villosus),https://doi.org/10.1676/21-00023,2021,https://openalex.org/W4200167584,,,,,,,,,,REPLACED
QOUIZX,Interannual climatic sensitivity of surface energy flux densities and evapotranspiration in a disturbed and rewetted ombrotrophic bog,https://doi.org/10.1016/j.agrformet.2025.110501,2025,https://openalex.org/W4408853494,1,0,0,0,0,0,0,0,1,structured statement but nned to log in to an account to download data - does this count as a working pointer??
ZWKS9B,Harnessing open science practices to teach ecology and evolutionary biology using interactive tutorials,https://doi.org/10.1002/ece3.11179,2024,https://openalex.org/W4399248547,,,,,,,,,,REPLACED
W7GLF6,Estimating abundance of Eastern Canada-West Greenland bowhead whales using genetic mark-recapture analyses,https://doi.org/10.1016/j.gecco.2023.e02524,2023,https://openalex.org/W4378189281,0,0,0,0,0,0,0,0,0,available upon request 
GFVZEA,Modelling growing season carbon fluxes at a low-center polygon ecosystem in the Mackenzie River Delta,https://doi.org/10.1139/as-2022-0033,2023,https://openalex.org/W4377087162,0,0,0,0,0,0,0,0,0,I don't see any information on how to access data 
XMPVDB,Investigating properties of sweet cherry (<i>Prunus avium</i>) flower buds that help promote freezing avoidance by supercooling,https://doi.org/10.1111/plb.13697,2024,https://openalex.org/W4401783365,1,1,1,0.2,0,0,0,0,3.2,"no collection protocol w/ data, no scropted data processing, no data dictionary, no license "
FO2DED,Functional characteristics of zooplankton bioregions along the cross-shelf gradient,https://doi.org/10.1016/j.pocean.2025.103559,2025,https://openalex.org/W4413449454,1,1,1,0.2,0,0.2,0,0.2,3.6,"has a structured statemnt but zenodo pointers don't work. Although the third pointer works. The paper says this is just processing code but there is also data here. I graded A, I, and R based off this data"
OZ2HY7,Factors associated with returns of snowy owls to airports following translocation,https://doi.org/10.1002/jwmg.22230,2022,https://openalex.org/W4223484716,,,,,,,,,,REPLACED
LXXDPU,Movement ecology of endangered caribou during a <scp>COVID</scp>‐19 mediated pause in winter recreation,https://doi.org/10.1111/acv.12912,2023,https://openalex.org/W4387895246,1,1,1,0.2,0,0.2,0,0.2,3.6,
F75IPQ,Summer distribution and habitat preference of beluga whale social groups in the Eastern Beaufort Sea,https://doi.org/10.1139/as-2022-0035,2023,https://openalex.org/W4322622986,0,0,0,0,0,0,0,0,0,can't find any information about the data
MJCM5M,Genomic divergence and introgression between cryptic species of a widespread North American songbird,https://doi.org/10.1111/mec.17169,2023,https://openalex.org/W4388232027,1,1,1,0.2,0.2,0.2,0.2,0.2,4,
XPEDN0,Seasonal dynamics and optimal diagnostics of<i>Grapevine red blotch virus</i>in a British Columbian vineyard,https://doi.org/10.1080/07060661.2021.1993346,2021,https://openalex.org/W3205334821,0,0,0,0,0,0,0,0,0,can't find any information about the data
7SBGWB,Legacy persistent organic pollutants among multiple cetacean species in the Northwest Atlantic,https://doi.org/10.1016/j.scitotenv.2024.176746,2024,https://openalex.org/W4403165729,0,0,0,0,0,0,0,0,0,available upon request 
TILMW1,Variability of the circulation in the western North Atlantic and its impact on deep-water oxygen concentrations in the St. Lawrence Estuary on the western continental shelf: evidence from observations,https://doi.org/10.5194/egusphere-egu21-485,2021,https://openalex.org/W3204671297,,,,,,,,,,REPLACED
AJCITV,"Quantifying throughfall, stemflow and interception loss in five vegetation communities in a maritime raised bog",https://doi.org/10.1016/j.agrformet.2022.109202,2022,https://openalex.org/W4307029833,0,0,0,0,0,0,0,0,0,data belongs to the city. 
0FWV9J,Kleptoparasites of social spider colonies do not track hosts' subdivided population structure,https://doi.org/10.1111/mec.16718,2022,https://openalex.org/W4302424781,1,1,1,0.2,0,0,0.2,0.2,3.6,"missing collection protocols, not clear which scripts produced the cleaned data "
A4ZMZ1,Nomadic breeders Snowy Owls (<i>Bubo scandiacus</i>) do not use stopovers to sample the summer environment,https://doi.org/10.1111/ibi.12950,2021,https://openalex.org/W3136340045,1,0,0,0,0,0,0,0,1,has a structured statement and points to movebank site it's just the general site and not specifiic to the dataset. 
VBVXBA,"Intertidal beach habitat suitability model for Pacific sand lance (<i>Ammodytes personatus</i>) in the Salish Sea, Canada",https://doi.org/10.1139/cjfas-2021-0335,2022,https://openalex.org/W4281254065,0.5,0,0,0,0,0,0,0,0.5,unstructured statemnt in methods that pooints to SoG data centre. but here it asks for a username and pw. 
R0VDLY,Ecological and environmental context shape the differential effects of a facilitator in its native and invaded ranges,https://doi.org/10.1002/ecy.3478,2021,https://openalex.org/W3179826834,1,1,1,0.2,0.2,0.2,0.2,0.2,4,
Y6WJ1C,Using accelerometry tags to quantify gray whale foraging behavior,https://doi.org/10.1111/mms.13210,2024,https://openalex.org/W4404872509,0,0,0,0,0,0,0,0,0,Can't see any mention of data 
BHIRGB,Crowd-sourced observations of a polyphagous moth reveal evidence of allochronic speciation varying along a latitudinal gradient,https://doi.org/10.1371/journal.pone.0288415,2023,https://openalex.org/W4384161835,1,1,1,0.2,0,0.2,0,0,3.4,"osf link works, data are accessible as csv files, no data dictionary, readme, or license. There is code linked that is well commented and processes the data . "
JH6EM1,Spatio-temporal patterns in coral reef composition and function across an altered environmental gradient: A 15-year study in the Caribbean,https://doi.org/10.3389/fmars.2022.977551,2023,https://openalex.org/W4313584893,1,1,1,0.2,0,0,0,0,3.2,only gave marks on R for file format - no readme or data dictionary with other info available 
V0W1WV,Impact of water stress on &lt;i&gt;Phaeomoniella chlamydospora&lt;/i&gt; abundance and Petri disease symptom development in young grapevines,https://doi.org/10.20870/oeno-one.2025.59.1.8317,2025,https://openalex.org/W4406034533,0,0,0,0,0,0,0,0,0,"there is a header called suplementary data but these only seem to contain statistical results, not actual data "
47J7Y6,A185 A GUT MICROBIOME TRANSITION: THE JOURNEY FROM INDIA TO CANADA,https://doi.org/10.1093/jcag/gwad061.185,2024,https://openalex.org/W4391873379,,,,,,,,,,REPLACED
J0CGOY,Epibiont communities on mussels in relation to parasitism and location in the rocky intertidal zone,https://doi.org/10.1093/femsec/fiae101,2024,https://openalex.org/W4401557023,0,0,0,0,0,0,0,0,0,"there is a zip file called suplementary data but these only seem to contain statistical results, not actual data "
HV8US8,Hyperabundant black-tailed deer impact endangered Garry oak ecosystem floral and bumblebee communities,https://doi.org/10.1016/j.gecco.2022.e02237,2022,https://openalex.org/W4286675749,0,0,0,0,0,0,0,0,0,Data will be made available on request.
7XDQWL,Individual Prey Specialization Drives PCBs in Icelandic Killer Whales,https://doi.org/10.1021/acs.est.0c08563,2021,https://openalex.org/W3137757793,0,0,0,0,0,0,0,0,0,can't find any information about the data
3ZAMR4,A basic community dynamics experiment: Disentangling deterministic and stochastic processes in structuring ecological communities,https://doi.org/10.1002/ece3.9568,2022,https://openalex.org/W4310672748,1,1,1,0.2,0.2,0,0,0.2,3.6,"variables not explained very well, no processing code"
2OLAHP,"Experimentally derived trophic enrichment and discrimination factors for Chinook salmon, <scp> <i>Oncorhynchus tshawytscha</i> </scp>",https://doi.org/10.1002/rcm.9092,2021,https://openalex.org/W3144995884,0,0,0,0,0,0,0,0,0,A pointer goes to the supp but these don't look like raw data - they are averages 
