pub_id,title,doi,publication_year,openalex_url,"Findable (1, 0.5, 0)","Accessible (1, 0)","Interoperable (1, 0)","Reusable_ff (0.2, 0)","Reusable_coll (0.2, 0)","Reusable_process (0.2, 0)","Reusable_vars (0.2, 0)","License (0.2, 0)",total_score,Notes,
R0VDLY,Ecological and environmental context shape the differential effects of a facilitator in its native and invaded ranges,https://doi.org/10.1002/ecy.3478,2021,https://openalex.org/W3179826834,1,1,1,0.2,0.2,0.2,0.2,0.2,4,,
Y6WJ1C,Using accelerometry tags to quantify gray whale foraging behavior,https://doi.org/10.1111/mms.13210,2024,https://openalex.org/W4404872509,0,0,0,0,0,0,0,0,0,,
BHIRGB,Crowd-sourced observations of a polyphagous moth reveal evidence of allochronic speciation varying along a latitudinal gradient,https://doi.org/10.1371/journal.pone.0288415,2023,https://openalex.org/W4384161835,1,1,1,0.2,0,0,0,0,3.2,"OSF does not provide link to Github, but was able access data and files via OSF github. No data dictionary",
JH6EM1,Spatio-temporal patterns in coral reef composition and function across an altered environmental gradient: A 15-year study in the Caribbean,https://doi.org/10.3389/fmars.2022.977551,2023,https://openalex.org/W4313584893,1,1,1,0.2,0,0,0,0,3.2,,
V0W1WV,Impact of water stress on &lt;i&gt;Phaeomoniella chlamydospora&lt;/i&gt; abundance and Petri disease symptom development in young grapevines,https://doi.org/10.20870/oeno-one.2025.59.1.8317,2025,https://openalex.org/W4406034533,0,0,0,0,0,0,0,0,0,,
J0CGOY,Epibiont communities on mussels in relation to parasitism and location in the rocky intertidal zone,https://doi.org/10.1093/femsec/fiae101,2024,https://openalex.org/W4401557023,0,0,0,0,0,0,0,0,0,,
HV8US8,Hyperabundant black-tailed deer impact endangered Garry oak ecosystem floral and bumblebee communities,https://doi.org/10.1016/j.gecco.2022.e02237,2022,https://openalex.org/W4286675749,0,0,0,0,0,0,0,0,0,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
